"Summary Sequence","Count","Status Sequence","Key Sequence","To Do Sequence","In Progress Sequence","Done Sequence"
"Increase the Value yield of thing\\\10th Feature v1.0\\\Fix unintended functionality of this thing\\\Build cloud pipeline for this thing",1,"In Progress\\\In Progress\\\To Do\\\Done","THEME-150\\\FEATURE-198\\\EPIC-8\\\STORY-126","9\\\8\\\3\\\0","4\\\4\\\0\\\0","8\\\8\\\4\\\1"
"Increase customer retention\\\4th Feature v5.1\\\Redesign layout of this thing\\\Build cloud pipeline for this thing",1,"In Progress\\\In Progress\\\In Progress\\\In Progress","THEME-136\\\FEATURE-246\\\EPIC-11\\\STORY-119","42\\\13\\\3\\\0","29\\\12\\\3\\\1","70\\\30\\\8\\\0"
"Allow customers to achieve their goal of thing\\\7th Feature v3.8\\\Decomission this thing\\\Build cloud pipeline for this thing",1,"In Progress\\\In Progress\\\In Progress\\\In Progress","THEME-137\\\FEATURE-206\\\EPIC-20\\\STORY-55","1\\\0\\\0\\\0","3\\\3\\\2\\\1","34\\\12\\\5\\\0"
"Increase customer retention\\\2nd Feature v6.3\\\Conduct user research on this thing\\\Build cloud pipeline for this thing",1,"In Progress\\\In Progress\\\In Progress\\\In Progress","THEME-136\\\FEATURE-177\\\EPIC-3\\\STORY-52","42\\\3\\\3\\\0","29\\\6\\\6\\\1","70\\\10\\\10\\\0"
"Reduce the Cost-to-Value breakpoint for thing\\\8th Feature v1.8\\\Create skeleton workflow for this thing\\\Build cloud pipeline for this thing",1,"In Progress\\\In Progress\\\In Progress\\\In Progress","THEME-138\\\FEATURE-174\\\EPIC-43\\\STORY-475","18\\\18\\\8\\\0","5\\\5\\\2\\\1","28\\\27\\\6\\\0"
"Increase customer retention\\\5th Feature v4.3\\\Redesign layout of this thing\\\Build cloud pipeline for this thing",1,"In Progress\\\In Progress\\\In Progress\\\In Progress","THEME-136\\\FEATURE-260\\\EPIC-447\\\STORY-448","42\\\10\\\3\\\0","29\\\7\\\1\\\1","70\\\4\\\1\\\0"
"Increase customer retention\\\4th Feature v5.1\\\Redesign layout of this thing\\\Build cloud pipeline for this thing",1,"In Progress\\\In Progress\\\In Progress\\\To Do","THEME-136\\\FEATURE-246\\\EPIC-11\\\STORY-496","42\\\13\\\3\\\1","29\\\12\\\3\\\0","70\\\30\\\8\\\0"
"Increase customer retention\\\1st Feature v7.5\\\Redesign layout of this thing\\\Build cloud pipeline for this thing",1,"In Progress\\\In Progress\\\To Do\\\To Do","THEME-136\\\FEATURE-163\\\EPIC-12\\\STORY-129","42\\\8\\\3\\\1","29\\\2\\\0\\\0","70\\\6\\\5\\\0"
"Increase customer retention\\\4th Feature v5.1\\\Create skeleton workflow for this thing\\\Build cloud pipeline for this thing",1,"In Progress\\\In Progress\\\To Do\\\To Do","THEME-136\\\FEATURE-246\\\EPIC-206\\\STORY-263","42\\\13\\\1\\\1","29\\\12\\\0\\\0","70\\\30\\\1\\\0"
"Reduce the Cost-to-Value breakpoint for thing\\\8th Feature v1.8\\\Decomission this thing\\\Build cloud pipeline for this thing",1,"In Progress\\\In Progress\\\To Do\\\To Do","THEME-138\\\FEATURE-174\\\EPIC-23\\\STORY-238","18\\\18\\\3\\\1","5\\\5\\\0\\\0","28\\\27\\\3\\\0"
"Increase customer retention\\\4th Feature v5.1\\\Create skeleton workflow for this thing\\\Build cloud pipeline for this thing",1,"In Progress\\\In Progress\\\In Progress\\\To Do","THEME-136\\\FEATURE-246\\\EPIC-24\\\STORY-307","42\\\13\\\2\\\1","29\\\12\\\1\\\0","70\\\30\\\7\\\0"
"Increase customer retention\\\5th Feature v4.3\\\Conduct user research on this thing\\\Build cloud pipeline for this thing",1,"In Progress\\\In Progress\\\In Progress\\\To Do","THEME-136\\\FEATURE-260\\\EPIC-41\\\STORY-436","42\\\10\\\3\\\1","29\\\7\\\3\\\0","70\\\4\\\2\\\0"
"Reduce the Cost-to-Value breakpoint for thing\\\8th Feature v1.8\\\Integrate new research into this thing\\\Build cloud pipeline for this thing",1,"In Progress\\\In Progress\\\In Progress\\\To Do","THEME-138\\\FEATURE-174\\\EPIC-42\\\STORY-413","18\\\18\\\5\\\1","5\\\5\\\2\\\0","28\\\27\\\9\\\0"
"Increase customer retention\\\5th Feature v4.3\\\Decomission this thing\\\Build cloud pipeline for this thing",1,"In Progress\\\In Progress\\\In Progress\\\To Do","THEME-136\\\FEATURE-260\\\EPIC-420\\\STORY-425","42\\\10\\\3\\\1","29\\\7\\\3\\\0","70\\\4\\\1\\\0"
"Increase customer retention\\\4th Feature v5.1\\\Integrate new research into this thing\\\Build cloud pipeline for this thing",1,"In Progress\\\In Progress\\\In Progress\\\To Do","THEME-136\\\FEATURE-246\\\EPIC-457\\\STORY-331","42\\\13\\\3\\\1","29\\\12\\\2\\\0","70\\\30\\\1\\\0"
"Increase the Value yield of thing\\\10th Feature v1.0\\\Fix unintended functionality of this thing\\\Build cloud pipeline for this thing",1,"In Progress\\\In Progress\\\To Do\\\To Do","THEME-150\\\FEATURE-198\\\EPIC-8\\\STORY-380","9\\\8\\\3\\\1","4\\\4\\\0\\\0","8\\\8\\\4\\\0"
"Increase customer retention\\\4th Feature v5.1\\\Redesign layout of this thing\\\Build functionality for this thing",1,"In Progress\\\In Progress\\\In Progress\\\Done","THEME-136\\\FEATURE-246\\\EPIC-11\\\STORY-118","42\\\13\\\3\\\0","29\\\12\\\3\\\0","70\\\30\\\8\\\1"
"Increase customer retention\\\4th Feature v5.1\\\Conduct user research on this thing\\\Build functionality for this thing",1,"In Progress\\\In Progress\\\Done\\\Done","THEME-136\\\FEATURE-246\\\EPIC-18\\\STORY-237","42\\\13\\\0\\\0","29\\\12\\\0\\\0","70\\\30\\\3\\\1"
"Allow customers to achieve their goal of thing\\\12th Feature v0.9\\\Create skeleton workflow for this thing\\\Build functionality for this thing",1,"In Progress\\\Done\\\Done\\\Done","THEME-137\\\FEATURE-204\\\EPIC-193\\\STORY-204","1\\\0\\\0\\\0","3\\\0\\\0\\\0","34\\\13\\\5\\\1"
"Increase customer retention\\\4th Feature v5.1\\\Create skeleton workflow for this thing\\\Build functionality for this thing",1,"In Progress\\\In Progress\\\To Do\\\Done","THEME-136\\\FEATURE-246\\\EPIC-206\\\STORY-264","42\\\13\\\1\\\0","29\\\12\\\0\\\0","70\\\30\\\1\\\1"
"Allow customers to achieve their goal of thing\\\7th Feature v3.8\\\Conduct user research on this thing\\\Build functionality for this thing",1,"In Progress\\\In Progress\\\In Progress\\\Done","THEME-137\\\FEATURE-206\\\EPIC-21\\\STORY-243","1\\\0\\\0\\\0","3\\\3\\\1\\\0","34\\\12\\\6\\\1"
"Reduce the Cost-to-Value breakpoint for thing\\\8th Feature v1.8\\\Build onboarding functionality for this thing\\\Build functionality for this thing",1,"In Progress\\\In Progress\\\To Do\\\Done","THEME-138\\\FEATURE-174\\\EPIC-22\\\STORY-341","18\\\18\\\1\\\0","5\\\5\\\0\\\0","28\\\27\\\8\\\1"
"Increase customer retention\\\3rd Feature v5.9\\\Decomission this thing\\\Build functionality for this thing",1,"In Progress\\\In Progress\\\In Progress\\\Done","THEME-136\\\FEATURE-232\\\EPIC-29\\\STORY-347","42\\\8\\\1\\\0","29\\\2\\\1\\\0","70\\\20\\\6\\\1"
"Increase customer retention\\\2nd Feature v6.3\\\Conduct user research on this thing\\\Build functionality for this thing",1,"In Progress\\\In Progress\\\In Progress\\\Done","THEME-136\\\FEATURE-177\\\EPIC-3\\\STORY-299","42\\\3\\\3\\\0","29\\\6\\\6\\\0","70\\\10\\\10\\\1"
"Increase customer retention\\\3rd Feature v5.9\\\Conduct user research on this thing\\\Build functionality for this thing",1,"In Progress\\\In Progress\\\Done\\\Done","THEME-136\\\FEATURE-232\\\EPIC-35\\\STORY-362","42\\\8\\\0\\\0","29\\\2\\\0\\\0","70\\\20\\\2\\\1"
"Reduce the Cost-to-Value breakpoint for thing\\\8th Feature v1.8\\\Integrate new research into this thing\\\Build functionality for this thing",1,"In Progress\\\In Progress\\\In Progress\\\Done","THEME-138\\\FEATURE-174\\\EPIC-42\\\STORY-399","18\\\18\\\5\\\0","5\\\5\\\2\\\0","28\\\27\\\9\\\1"
"Reduce the Cost-to-Value breakpoint for thing\\\8th Feature v1.8\\\Create skeleton workflow for this thing\\\Build functionality for this thing",1,"In Progress\\\In Progress\\\In Progress\\\Done","THEME-138\\\FEATURE-174\\\EPIC-43\\\STORY-474","18\\\18\\\8\\\0","5\\\5\\\2\\\0","28\\\27\\\6\\\1"
"Allow customers to achieve their goal of thing\\\7th Feature v3.8\\\Decomission this thing\\\Build functionality for this thing",1,"In Progress\\\In Progress\\\In Progress\\\In Progress","THEME-137\\\FEATURE-206\\\EPIC-20\\\STORY-54","1\\\0\\\0\\\0","3\\\3\\\2\\\1","34\\\12\\\5\\\0"
"Increase customer retention\\\1st Feature v7.5\\\Redesign layout of this thing\\\Build functionality for this thing",1,"In Progress\\\In Progress\\\In Progress\\\In Progress","THEME-136\\\FEATURE-163\\\EPIC-26\\\STORY-277","42\\\8\\\2\\\0","29\\\2\\\1\\\1","70\\\6\\\1\\\0"
"Increase customer retention\\\4th Feature v5.1\\\Conduct user research on this thing\\\Build functionality for this thing",1,"In Progress\\\In Progress\\\In Progress\\\In Progress","THEME-136\\\FEATURE-246\\\EPIC-28\\\STORY-272","42\\\13\\\1\\\0","29\\\12\\\4\\\1","70\\\30\\\4\\\0"
"Increase customer retention\\\2nd Feature v6.3\\\Conduct user research on this thing\\\Build functionality for this thing",1,"In Progress\\\In Progress\\\In Progress\\\In Progress","THEME-136\\\FEATURE-177\\\EPIC-3\\\STORY-58","42\\\3\\\3\\\0","29\\\6\\\6\\\1","70\\\10\\\10\\\0"
"Increase customer retention\\\4th Feature v5.1\\\Integrate new research into this thing\\\Build functionality for this thing",1,"In Progress\\\In Progress\\\To Do\\\To Do","THEME-136\\\FEATURE-246\\\EPIC-16\\\STORY-283","42\\\13\\\2\\\1","29\\\12\\\0\\\0","70\\\30\\\0\\\0"
"Increase customer retention\\\1st Feature v7.5\\\Build onboarding functionality for this thing\\\Build functionality for this thing",1,"In Progress\\\In Progress\\\In Progress\\\To Do","THEME-136\\\FEATURE-163\\\EPIC-25\\\STORY-280","42\\\8\\\3\\\1","29\\\2\\\1\\\0","70\\\6\\\0\\\0"
"Increase customer retention\\\1st Feature v7.5\\\Redesign layout of this thing\\\Build functionality for this thing",1,"In Progress\\\In Progress\\\In Progress\\\To Do","THEME-136\\\FEATURE-163\\\EPIC-26\\\STORY-276","42\\\8\\\2\\\1","29\\\2\\\1\\\0","70\\\6\\\1\\\0"
"Increase customer retention\\\2nd Feature v6.3\\\Conduct user research on this thing\\\Build functionality for this thing",1,"In Progress\\\In Progress\\\In Progress\\\To Do","THEME-136\\\FEATURE-177\\\EPIC-3\\\STORY-450","42\\\3\\\3\\\1","29\\\6\\\6\\\0","70\\\10\\\10\\\0"
"Reduce the Cost-to-Value breakpoint for thing\\\8th Feature v1.8\\\Create skeleton workflow for this thing\\\Build functionality for this thing",1,"In Progress\\\In Progress\\\In Progress\\\To Do","THEME-138\\\FEATURE-174\\\EPIC-43\\\STORY-490","18\\\18\\\8\\\1","5\\\5\\\2\\\0","28\\\27\\\6\\\0"
"Increase customer retention\\\4th Feature v5.1\\\Redesign layout of this thing\\\Decomission this legacy thing",1,"In Progress\\\In Progress\\\In Progress\\\Done","THEME-136\\\FEATURE-246\\\EPIC-11\\\STORY-143","42\\\13\\\3\\\0","29\\\12\\\3\\\0","70\\\30\\\8\\\1"
"Increase customer retention\\\1st Feature v7.5\\\Redesign layout of this thing\\\Decomission this legacy thing",1,"In Progress\\\In Progress\\\To Do\\\Done","THEME-136\\\FEATURE-163\\\EPIC-12\\\STORY-121","42\\\8\\\3\\\0","29\\\2\\\0\\\0","70\\\6\\\5\\\1"
"Increase the Value yield of thing\\\10th Feature v1.0\\\Integrate new research into this thing\\\Decomission this legacy thing",1,"In Progress\\\In Progress\\\In Progress\\\Done","THEME-150\\\FEATURE-198\\\EPIC-15\\\STORY-197","9\\\8\\\2\\\0","4\\\4\\\2\\\0","8\\\8\\\2\\\1"
"Allow customers to achieve their goal of thing\\\6th Feature v4.3\\\Integrate new research into this thing\\\Decomission this legacy thing",1,"In Progress\\\To Do\\\Done\\\Done","THEME-137\\\FEATURE-201\\\EPIC-2\\\STORY-142","1\\\1\\\0\\\0","3\\\0\\\0\\\0","34\\\9\\\8\\\1"
"Allow customers to achieve their goal of thing\\\7th Feature v3.8\\\Decomission this thing\\\Decomission this legacy thing",1,"In Progress\\\In Progress\\\In Progress\\\Done","THEME-137\\\FEATURE-206\\\EPIC-20\\\STORY-46","1\\\0\\\0\\\0","3\\\3\\\2\\\0","34\\\12\\\5\\\1"
"Allow customers to achieve their goal of thing\\\7th Feature v3.8\\\Conduct user research on this thing\\\Decomission this legacy thing",1,"In Progress\\\In Progress\\\In Progress\\\Done","THEME-137\\\FEATURE-206\\\EPIC-21\\\STORY-239","1\\\0\\\0\\\0","3\\\3\\\1\\\0","34\\\12\\\6\\\1"
"Reduce the Cost-to-Value breakpoint for thing\\\8th Feature v1.8\\\Build onboarding functionality for this thing\\\Decomission this legacy thing",1,"In Progress\\\In Progress\\\To Do\\\Done","THEME-138\\\FEATURE-174\\\EPIC-22\\\STORY-340","18\\\18\\\1\\\0","5\\\5\\\0\\\0","28\\\27\\\8\\\1"
"Reduce the Cost-to-Value breakpoint for thing\\\8th Feature v1.8\\\Decomission this thing\\\Decomission this legacy thing",1,"In Progress\\\In Progress\\\To Do\\\Done","THEME-138\\\FEATURE-174\\\EPIC-23\\\STORY-235","18\\\18\\\3\\\0","5\\\5\\\0\\\0","28\\\27\\\3\\\1"
"Increase customer retention\\\4th Feature v5.1\\\Conduct user research on this thing\\\Decomission this legacy thing",1,"In Progress\\\In Progress\\\In Progress\\\Done","THEME-136\\\FEATURE-246\\\EPIC-28\\\STORY-270","42\\\13\\\1\\\0","29\\\12\\\4\\\0","70\\\30\\\4\\\1"
"Increase customer retention\\\3rd Feature v5.9\\\Decomission this thing\\\Decomission this legacy thing",1,"In Progress\\\In Progress\\\In Progress\\\Done","THEME-136\\\FEATURE-232\\\EPIC-29\\\STORY-295","42\\\8\\\1\\\0","29\\\2\\\1\\\0","70\\\20\\\6\\\1"
"Increase customer retention\\\2nd Feature v6.3\\\Conduct user research on this thing\\\Decomission this legacy thing",1,"In Progress\\\In Progress\\\In Progress\\\Done","THEME-136\\\FEATURE-177\\\EPIC-3\\\STORY-35","42\\\3\\\3\\\0","29\\\6\\\6\\\0","70\\\10\\\10\\\1"
"Increase customer retention\\\3rd Feature v5.9\\\Build onboarding functionality for this thing\\\Decomission this legacy thing",1,"In Progress\\\In Progress\\\Done\\\Done","THEME-136\\\FEATURE-232\\\EPIC-36\\\STORY-364","42\\\8\\\0\\\0","29\\\2\\\0\\\0","70\\\20\\\3\\\1"
"Increase customer retention\\\3rd Feature v5.9\\\Build onboarding functionality for this thing\\\Decomission this legacy thing",1,"In Progress\\\In Progress\\\Done\\\Done","THEME-136\\\FEATURE-232\\\EPIC-37\\\STORY-372","42\\\8\\\0\\\0","29\\\2\\\0\\\0","70\\\20\\\3\\\1"
"Reduce the Cost-to-Value breakpoint for thing\\\8th Feature v1.8\\\Integrate new research into this thing\\\Decomission this legacy thing",1,"In Progress\\\In Progress\\\In Progress\\\Done","THEME-138\\\FEATURE-174\\\EPIC-42\\\STORY-396","18\\\18\\\5\\\0","5\\\5\\\2\\\0","28\\\27\\\9\\\1"
"Increase customer retention\\\4th Feature v5.1\\\Create skeleton workflow for this thing\\\Decomission this legacy thing",1,"In Progress\\\In Progress\\\In Progress\\\In Progress","THEME-136\\\FEATURE-246\\\EPIC-19\\\STORY-407","42\\\13\\\1\\\0","29\\\12\\\2\\\1","70\\\30\\\3\\\0"
"Increase customer retention\\\1st Feature v7.5\\\Build onboarding functionality for this thing\\\Decomission this legacy thing",1,"In Progress\\\In Progress\\\In Progress\\\In Progress","THEME-136\\\FEATURE-163\\\EPIC-25\\\STORY-267","42\\\8\\\3\\\0","29\\\2\\\1\\\1","70\\\6\\\0\\\0"
"Increase customer retention\\\4th Feature v5.1\\\Conduct user research on this thing\\\Decomission this legacy thing",1,"In Progress\\\In Progress\\\In Progress\\\In Progress","THEME-136\\\FEATURE-246\\\EPIC-28\\\STORY-271","42\\\13\\\1\\\0","29\\\12\\\4\\\1","70\\\30\\\4\\\0"
"Increase customer retention\\\5th Feature v4.3\\\Decomission this thing\\\Decomission this legacy thing",1,"In Progress\\\In Progress\\\In Progress\\\In Progress","THEME-136\\\FEATURE-260\\\EPIC-420\\\STORY-426","42\\\10\\\3\\\0","29\\\7\\\3\\\1","70\\\4\\\1\\\0"
"Reduce the Cost-to-Value breakpoint for thing\\\8th Feature v1.8\\\Create skeleton workflow for this thing\\\Decomission this legacy thing",1,"In Progress\\\In Progress\\\In Progress\\\In Progress","THEME-138\\\FEATURE-174\\\EPIC-43\\\STORY-443","18\\\18\\\8\\\0","5\\\5\\\2\\\1","28\\\27\\\6\\\0"
"Increase customer retention\\\1st Feature v7.5\\\Build onboarding functionality for this thing\\\Decomission this legacy thing",1,"In Progress\\\In Progress\\\In Progress\\\To Do","THEME-136\\\FEATURE-163\\\EPIC-25\\\STORY-281","42\\\8\\\3\\\1","29\\\2\\\1\\\0","70\\\6\\\0\\\0"
"Increase customer retention\\\2nd Feature v6.3\\\Conduct user research on this thing\\\Decomission this legacy thing",1,"In Progress\\\In Progress\\\In Progress\\\To Do","THEME-136\\\FEATURE-177\\\EPIC-3\\\STORY-130","42\\\3\\\3\\\1","29\\\6\\\6\\\0","70\\\10\\\10\\\0"
"Increase customer retention\\\3rd Feature v5.9\\\Redesign layout of this thing\\\Decomission this legacy thing",1,"In Progress\\\In Progress\\\To Do\\\To Do","THEME-136\\\FEATURE-232\\\EPIC-30\\\STORY-379","42\\\8\\\3\\\1","29\\\2\\\0\\\0","70\\\20\\\1\\\0"
"Reduce the Cost-to-Value breakpoint for thing\\\8th Feature v1.8\\\Integrate new research into this thing\\\Decomission this legacy thing",1,"In Progress\\\In Progress\\\In Progress\\\To Do","THEME-138\\\FEATURE-174\\\EPIC-42\\\STORY-412","18\\\18\\\5\\\1","5\\\5\\\2\\\0","28\\\27\\\9\\\0"
"Reduce the Cost-to-Value breakpoint for thing\\\8th Feature v1.8\\\Create skeleton workflow for this thing\\\Decomission this legacy thing",1,"In Progress\\\In Progress\\\In Progress\\\To Do","THEME-138\\\FEATURE-174\\\EPIC-43\\\STORY-480","18\\\18\\\8\\\1","5\\\5\\\2\\\0","28\\\27\\\6\\\0"
"Increase customer retention\\\4th Feature v5.1\\\Redesign layout of this thing\\\Fix this thing",1,"In Progress\\\In Progress\\\In Progress\\\Done","THEME-136\\\FEATURE-246\\\EPIC-11\\\STORY-180","42\\\13\\\3\\\0","29\\\12\\\3\\\0","70\\\30\\\8\\\1"
"Increase customer retention\\\1st Feature v7.5\\\Redesign layout of this thing\\\Fix this thing",1,"In Progress\\\In Progress\\\To Do\\\Done","THEME-136\\\FEATURE-163\\\EPIC-12\\\STORY-138","42\\\8\\\3\\\0","29\\\2\\\0\\\0","70\\\6\\\5\\\1"
"Allow customers to achieve their goal of thing\\\12th Feature v0.9\\\Create skeleton workflow for this thing\\\Fix this thing",1,"In Progress\\\Done\\\Done\\\Done","THEME-137\\\FEATURE-204\\\EPIC-193\\\STORY-225","1\\\0\\\0\\\0","3\\\0\\\0\\\0","34\\\13\\\5\\\1"
"Allow customers to achieve their goal of thing\\\6th Feature v4.3\\\Integrate new research into this thing\\\Fix this thing",1,"In Progress\\\To Do\\\Done\\\Done","THEME-137\\\FEATURE-201\\\EPIC-2\\\STORY-196","1\\\1\\\0\\\0","3\\\0\\\0\\\0","34\\\9\\\8\\\1"
"Increase customer retention\\\4th Feature v5.1\\\Create skeleton workflow for this thing\\\Fix this thing",1,"In Progress\\\In Progress\\\In Progress\\\Done","THEME-136\\\FEATURE-246\\\EPIC-24\\\STORY-355","42\\\13\\\2\\\0","29\\\12\\\1\\\0","70\\\30\\\7\\\1"
"Increase customer retention\\\4th Feature v5.1\\\Conduct user research on this thing\\\Fix this thing",1,"In Progress\\\In Progress\\\In Progress\\\Done","THEME-136\\\FEATURE-246\\\EPIC-28\\\STORY-273","42\\\13\\\1\\\0","29\\\12\\\4\\\0","70\\\30\\\4\\\1"
"Increase customer retention\\\3rd Feature v5.9\\\Decomission this thing\\\Fix this thing",1,"In Progress\\\In Progress\\\In Progress\\\Done","THEME-136\\\FEATURE-232\\\EPIC-29\\\STORY-291","42\\\8\\\1\\\0","29\\\2\\\1\\\0","70\\\20\\\6\\\1"
"Increase customer retention\\\2nd Feature v6.3\\\Conduct user research on this thing\\\Fix this thing",1,"In Progress\\\In Progress\\\In Progress\\\Done","THEME-136\\\FEATURE-177\\\EPIC-3\\\STORY-298","42\\\3\\\3\\\0","29\\\6\\\6\\\0","70\\\10\\\10\\\1"
"Increase customer retention\\\3rd Feature v5.9\\\Build onboarding functionality for this thing\\\Fix this thing",1,"In Progress\\\In Progress\\\Done\\\Done","THEME-136\\\FEATURE-232\\\EPIC-37\\\STORY-373","42\\\8\\\0\\\0","29\\\2\\\0\\\0","70\\\20\\\3\\\1"
"Increase customer retention\\\3rd Feature v5.9\\\Integrate new research into this thing\\\Fix this thing",1,"In Progress\\\In Progress\\\Done\\\Done","THEME-136\\\FEATURE-232\\\EPIC-40\\\STORY-376","42\\\8\\\0\\\0","29\\\2\\\0\\\0","70\\\20\\\3\\\1"
"Reduce the Cost-to-Value breakpoint for thing\\\8th Feature v1.8\\\Integrate new research into this thing\\\Fix this thing",1,"In Progress\\\In Progress\\\In Progress\\\Done","THEME-138\\\FEATURE-174\\\EPIC-42\\\STORY-400","18\\\18\\\5\\\0","5\\\5\\\2\\\0","28\\\27\\\9\\\1"
"Increase customer retention\\\4th Feature v5.1\\\Integrate new research into this thing\\\Fix this thing",1,"In Progress\\\In Progress\\\In Progress\\\Done","THEME-136\\\FEATURE-246\\\EPIC-457\\\STORY-334","42\\\13\\\3\\\0","29\\\12\\\2\\\0","70\\\30\\\1\\\1"
"Increase the Value yield of thing\\\10th Feature v1.0\\\Fix unintended functionality of this thing\\\Fix this thing",1,"In Progress\\\In Progress\\\To Do\\\Done","THEME-150\\\FEATURE-198\\\EPIC-8\\\STORY-127","9\\\8\\\3\\\0","4\\\4\\\0\\\0","8\\\8\\\4\\\1"
"Increase customer retention\\\4th Feature v5.1\\\Create skeleton workflow for this thing\\\Fix this thing",1,"In Progress\\\In Progress\\\In Progress\\\In Progress","THEME-136\\\FEATURE-246\\\EPIC-24\\\STORY-227","42\\\13\\\2\\\0","29\\\12\\\1\\\1","70\\\30\\\7\\\0"
"Increase customer retention\\\2nd Feature v6.3\\\Conduct user research on this thing\\\Fix this thing",1,"In Progress\\\In Progress\\\In Progress\\\In Progress","THEME-136\\\FEATURE-177\\\EPIC-3\\\STORY-173","42\\\3\\\3\\\0","29\\\6\\\6\\\1","70\\\10\\\10\\\0"
"Increase customer retention\\\5th Feature v4.3\\\Conduct user research on this thing\\\Fix this thing",1,"In Progress\\\In Progress\\\In Progress\\\In Progress","THEME-136\\\FEATURE-260\\\EPIC-41\\\STORY-433","42\\\10\\\3\\\0","29\\\7\\\3\\\1","70\\\4\\\2\\\0"
"Increase customer retention\\\3rd Feature v5.9\\\Conduct user research on this thing\\\Fix this thing",1,"In Progress\\\In Progress\\\In Progress\\\In Progress","THEME-136\\\FEATURE-232\\\EPIC-46\\\STORY-446","42\\\8\\\0\\\0","29\\\2\\\1\\\1","70\\\20\\\0\\\0"
"Increase customer retention\\\4th Feature v5.1\\\Redesign layout of this thing\\\Fix this thing",1,"In Progress\\\In Progress\\\In Progress\\\To Do","THEME-136\\\FEATURE-246\\\EPIC-11\\\STORY-424","42\\\13\\\3\\\1","29\\\12\\\3\\\0","70\\\30\\\8\\\0"
"Increase customer retention\\\1st Feature v7.5\\\Redesign layout of this thing\\\Fix this thing",1,"In Progress\\\In Progress\\\To Do\\\To Do","THEME-136\\\FEATURE-163\\\EPIC-12\\\STORY-182","42\\\8\\\3\\\1","29\\\2\\\0\\\0","70\\\6\\\5\\\0"
"Increase customer retention\\\4th Feature v5.1\\\Create skeleton workflow for this thing\\\Fix this thing",1,"In Progress\\\In Progress\\\In Progress\\\To Do","THEME-136\\\FEATURE-246\\\EPIC-19\\\STORY-262","42\\\13\\\1\\\1","29\\\12\\\2\\\0","70\\\30\\\3\\\0"
"Increase customer retention\\\4th Feature v5.1\\\Create skeleton workflow for this thing\\\Fix this thing",1,"In Progress\\\In Progress\\\In Progress\\\To Do","THEME-136\\\FEATURE-246\\\EPIC-24\\\STORY-326","42\\\13\\\2\\\1","29\\\12\\\1\\\0","70\\\30\\\7\\\0"
"Increase the Value yield of thing\\\10th Feature v1.0\\\Create skeleton workflow for this thing\\\Fix this thing",1,"In Progress\\\In Progress\\\In Progress\\\To Do","THEME-150\\\FEATURE-198\\\EPIC-343\\\STORY-350","9\\\8\\\3\\\1","4\\\4\\\2\\\0","8\\\8\\\1\\\0"
"Increase customer retention\\\3rd Feature v5.9\\\Decomission this thing\\\Fix this thing",1,"In Progress\\\In Progress\\\To Do\\\To Do","THEME-136\\\FEATURE-232\\\EPIC-38\\\STORY-369","42\\\8\\\4\\\1","29\\\2\\\0\\\0","70\\\20\\\0\\\0"
"Reduce the Cost-to-Value breakpoint for thing\\\8th Feature v1.8\\\Create skeleton workflow for this thing\\\Fix this thing",1,"In Progress\\\In Progress\\\In Progress\\\To Do","THEME-138\\\FEATURE-174\\\EPIC-4\\\STORY-93","18\\\18\\\1\\\1","5\\\5\\\1\\\0","28\\\27\\\1\\\0"
"Reduce the Cost-to-Value breakpoint for thing\\\8th Feature v1.8\\\Integrate new research into this thing\\\Fix this thing",1,"In Progress\\\In Progress\\\In Progress\\\To Do","THEME-138\\\FEATURE-174\\\EPIC-42\\\STORY-414","18\\\18\\\5\\\1","5\\\5\\\2\\\0","28\\\27\\\9\\\0"
"Increase customer retention\\\5th Feature v4.3\\\Decomission this thing\\\Fix this thing",1,"In Progress\\\In Progress\\\In Progress\\\To Do","THEME-136\\\FEATURE-260\\\EPIC-420\\\STORY-427","42\\\10\\\3\\\1","29\\\7\\\3\\\0","70\\\4\\\1\\\0"
"Reduce the Cost-to-Value breakpoint for thing\\\8th Feature v1.8\\\Create skeleton workflow for this thing\\\Fix this thing",1,"In Progress\\\In Progress\\\In Progress\\\To Do","THEME-138\\\FEATURE-174\\\EPIC-43\\\STORY-439","18\\\18\\\8\\\1","5\\\5\\\2\\\0","28\\\27\\\6\\\0"
"Increase customer retention\\\5th Feature v4.3\\\Redesign layout of this thing\\\Fix this thing",1,"In Progress\\\In Progress\\\In Progress\\\To Do","THEME-136\\\FEATURE-260\\\EPIC-447\\\STORY-454","42\\\10\\\3\\\1","29\\\7\\\1\\\0","70\\\4\\\1\\\0"
"Increase customer retention\\\4th Feature v5.1\\\Integrate new research into this thing\\\Fix this thing",1,"In Progress\\\In Progress\\\In Progress\\\To Do","THEME-136\\\FEATURE-246\\\EPIC-457\\\STORY-327","42\\\13\\\3\\\1","29\\\12\\\2\\\0","70\\\30\\\1\\\0"
"Increase customer retention\\\4th Feature v5.1\\\Redesign layout of this thing\\\Repair functionality for this thing",1,"In Progress\\\In Progress\\\In Progress\\\Done","THEME-136\\\FEATURE-246\\\EPIC-11\\\STORY-111","42\\\13\\\3\\\0","29\\\12\\\3\\\0","70\\\30\\\8\\\1"
